Age,PreviousPurchases,TrafficSource,TimeOnSite,CartValue,ViewedReviews,PagesVisited,Device,AddedToCart,Converted
23,3,Social Media,7.96,183.26,1,4,Desktop,1,1
54,2,Social Media,7.84,230.46,1,6,Desktop,1,1
62,2,Social Media,6.72,86.84,1,2,Mobile,0,0
53,2,Ads,2.66,209.76,1,14,Desktop,1,1
57,2,Organic,13.35,155.42,1,8,Mobile,1,1
48,6,Organic,8.17,185.65,1,15,Mobile,0,0
43,4,Email,11.81,70.89,1,11,Desktop,0,1
41,2,Email,11.12,78.11,0,18,Mobile,1,0
37,4,Email,4.82,52.92,0,19,Desktop,0,1
49,5,Organic,8.7,229.08,1,17,Tablet,1,1
21,4,Email,4.67,225.14,0,18,Desktop,1,1
20,2,Social Media,8.3,112.18,0,1,Mobile,1,1
52,4,Email,4.76,156.96,0,16,Mobile,0,1
50,1,Organic,8.98,44.93,1,2,Tablet,1,1
28,3,Ads,4.16,225.29,1,2,Tablet,1,0
39,3,Ads,4.0,112.71,1,17,Desktop,0,1
62,3,Organic,11.31,189.09,1,10,Desktop,1,0
34,3,Social Media,6.73,81.23,0,8,Desktop,0,1
24,5,Social Media,8.44,106.65,0,11,Tablet,0,0
56,4,Email,2.74,112.57,1,19,Tablet,1,0
62,2,Ads,4.2,40.25,1,11,Mobile,1,0
52,5,Email,4.04,106.43,1,19,Mobile,1,1
40,6,Organic,7.07,126.94,1,17,Tablet,0,1
24,0,Social Media,4.76,183.19,1,18,Mobile,1,1
48,4,Organic,3.78,150.06,0,2,Tablet,1,1
43,1,Ads,9.24,5.0,1,13,Mobile,1,1
59,4,Organic,6.69,48.82,1,7,Tablet,0,0
46,0,Social Media,15.79,80.98,0,10,Mobile,0,0
37,2,Ads,3.97,64.88,0,5,Mobile,0,0
63,0,Ads,7.26,67.01,0,5,Mobile,1,0
23,6,Organic,11.41,100.1,0,19,Desktop,1,0
51,1,Ads,9.55,191.65,0,9,Tablet,1,1
59,6,Social Media,7.6,187.54,0,9,Mobile,0,1
59,3,Social Media,2.75,44.56,0,5,Desktop,0,0
54,2,Organic,7.95,191.3,1,19,Tablet,1,1
51,5,Organic,7.2,103.88,0,13,Tablet,1,1
44,4,Ads,7.5,128.8,0,7,Mobile,0,1
31,2,Email,7.26,84.31,1,8,Mobile,0,1
41,2,Organic,7.86,100.21,1,15,Tablet,1,0
21,3,Ads,10.26,178.61,1,18,Mobile,1,1
46,4,Organic,6.65,187.61,1,11,Mobile,1,1
63,2,Organic,8.27,189.95,1,11,Tablet,0,0
31,1,Organic,2.46,86.0,0,6,Desktop,0,0
42,4,Email,7.52,48.8,1,7,Mobile,1,0
41,4,Ads,9.12,74.56,1,6,Mobile,0,0
39,3,Social Media,7.17,118.48,0,18,Mobile,1,1
49,6,Social Media,8.49,65.29,0,1,Desktop,1,0
50,1,Organic,7.19,114.83,0,7,Tablet,0,0
63,2,Ads,9.06,127.97,0,6,Mobile,1,1
48,7,Email,8.34,177.01,1,3,Mobile,0,0
31,1,Email,6.05,90.97,1,19,Desktop,1,0
25,2,Social Media,4.07,191.91,1,3,Mobile,0,0
46,3,Email,7.72,150.17,1,5,Tablet,1,0
37,4,Social Media,12.71,27.39,1,4,Desktop,1,0
29,3,Email,6.57,203.3,1,10,Desktop,0,1
54,4,Email,1.3,134.11,1,6,Tablet,1,0
45,3,Email,3.33,103.66,0,14,Tablet,1,1
29,4,Email,6.95,99.04,0,5,Desktop,1,1
61,4,Email,4.29,157.75,0,5,Desktop,0,1
29,3,Social Media,8.42,147.15,1,15,Tablet,1,0
55,1,Social Media,11.32,57.61,0,8,Tablet,1,0
25,1,Ads,7.69,118.39,0,8,Desktop,1,1
44,5,Ads,5.69,137.8,1,18,Tablet,1,0
50,6,Social Media,11.57,46.34,1,18,Tablet,1,0
62,3,Social Media,4.71,33.6,0,19,Tablet,1,0
49,2,Organic,12.93,180.59,1,14,Tablet,1,1
25,2,Organic,4.53,28.03,0,5,Desktop,0,0
60,4,Ads,10.28,136.87,0,11,Desktop,1,0
30,1,Email,2.92,114.1,0,15,Tablet,1,1
59,3,Email,7.6,110.45,1,10,Desktop,1,0
59,3,Email,6.62,189.14,1,15,Mobile,1,1
38,2,Ads,3.79,224.97,1,8,Desktop,1,1
44,5,Organic,5.49,248.71,1,15,Desktop,0,1
50,1,Ads,8.13,111.18,1,11,Tablet,0,0
42,3,Organic,13.03,86.78,1,7,Mobile,1,1
21,3,Social Media,6.25,59.11,0,9,Desktop,1,0
19,1,Organic,3.96,169.44,1,3,Mobile,1,0
20,1,Email,3.5,40.22,1,8,Desktop,1,0
22,2,Social Media,5.26,124.88,1,16,Mobile,0,0
25,4,Social Media,11.64,128.5,1,6,Mobile,0,1
49,4,Ads,4.79,66.62,0,2,Tablet,1,1
28,4,Organic,9.1,204.12,1,10,Desktop,1,1
55,6,Email,7.48,74.66,0,2,Desktop,0,1
35,5,Email,12.17,153.47,0,3,Mobile,1,1
30,1,Organic,8.17,151.78,1,13,Mobile,1,1
46,2,Email,12.59,193.13,0,19,Desktop,1,0
42,2,Organic,6.31,95.34,0,14,Tablet,0,1
50,5,Email,1.0,176.06,0,3,Desktop,1,0
31,3,Organic,7.3,57.21,1,10,Mobile,1,0
22,1,Ads,5.02,118.14,1,4,Tablet,1,0
35,3,Organic,8.85,132.43,1,17,Mobile,1,1
19,3,Social Media,7.73,175.28,1,2,Tablet,1,1
32,3,Social Media,7.91,135.55,0,8,Desktop,0,1
62,2,Organic,1.0,131.15,1,4,Tablet,1,1
24,5,Social Media,5.61,111.32,1,17,Tablet,0,1
42,2,Social Media,5.42,67.17,0,18,Desktop,1,0
44,6,Ads,9.67,107.38,0,8,Tablet,1,1
42,1,Social Media,8.63,150.75,1,17,Mobile,1,0
49,3,Social Media,4.28,156.33,1,14,Tablet,1,1
61,1,Social Media,5.51,174.56,1,13,Desktop,0,0
32,2,Social Media,6.73,63.59,1,5,Tablet,1,1
36,1,Organic,11.01,132.3,1,8,Tablet,1,0
18,3,Organic,9.02,169.01,0,14,Desktop,1,0
58,6,Email,10.48,167.87,1,16,Tablet,0,0
36,6,Social Media,13.04,74.95,0,6,Desktop,0,0
62,2,Organic,6.31,131.07,1,4,Desktop,0,0
47,4,Organic,7.49,92.81,1,6,Mobile,0,1
36,2,Organic,5.47,111.89,0,15,Desktop,1,1
62,3,Ads,10.55,172.54,1,5,Desktop,0,0
20,0,Email,8.42,13.89,0,19,Desktop,0,0
22,4,Organic,7.92,226.34,1,4,Tablet,1,0
61,4,Email,7.7,107.78,0,3,Desktop,0,1
27,4,Email,6.42,119.16,0,11,Tablet,0,1
50,2,Ads,9.05,221.39,0,16,Mobile,1,0
61,4,Email,5.49,156.65,0,19,Desktop,1,1
58,0,Organic,6.18,217.76,0,1,Desktop,1,0
51,5,Ads,7.29,189.02,0,16,Desktop,0,0
33,3,Email,12.19,123.42,1,19,Desktop,1,0
24,4,Social Media,9.07,69.76,0,14,Mobile,0,0
45,1,Email,7.82,75.85,1,1,Tablet,1,1
56,5,Organic,2.51,132.04,1,4,Tablet,0,0
26,3,Social Media,10.95,159.38,0,3,Desktop,1,1
60,2,Social Media,5.13,145.42,1,6,Mobile,1,1
26,7,Social Media,7.44,179.14,0,5,Desktop,1,1
42,4,Email,9.45,105.88,0,12,Tablet,1,1
61,4,Organic,9.64,69.61,1,1,Mobile,0,0
58,3,Organic,12.75,150.81,1,15,Tablet,0,0
33,1,Organic,9.41,59.61,1,3,Mobile,1,1
55,1,Email,6.49,206.64,1,4,Desktop,1,1
52,2,Email,6.86,51.68,0,14,Mobile,1,1
52,3,Social Media,6.78,115.96,1,16,Desktop,1,1
20,2,Ads,10.67,88.39,0,15,Desktop,1,0
53,1,Ads,7.94,101.81,0,11,Tablet,0,0
31,1,Organic,10.85,222.64,1,16,Mobile,0,1
47,4,Ads,5.58,77.07,1,9,Desktop,1,1
34,2,Ads,6.45,134.46,1,14,Mobile,1,1
43,1,Social Media,7.77,158.07,1,19,Mobile,0,1
45,3,Organic,7.38,15.0,1,8,Desktop,1,0
42,0,Ads,8.32,91.83,1,19,Mobile,0,1
46,4,Organic,10.89,261.82,1,17,Desktop,0,0
50,4,Ads,7.52,160.28,0,9,Tablet,1,1
56,1,Organic,7.12,126.79,1,14,Tablet,0,0
36,5,Social Media,8.43,83.11,1,2,Mobile,1,1
53,1,Ads,12.56,90.54,0,19,Tablet,1,1
46,3,Ads,10.12,133.99,1,3,Desktop,1,0
19,7,Social Media,10.39,108.25,1,6,Tablet,1,1
35,1,Email,11.35,127.89,1,12,Mobile,1,1
45,2,Ads,7.18,115.51,0,7,Tablet,1,0
24,2,Organic,11.93,203.74,0,11,Mobile,1,1
22,4,Social Media,4.66,125.86,0,14,Mobile,0,0
59,2,Email,4.71,117.84,1,5,Tablet,1,0
40,3,Organic,4.77,139.79,0,16,Desktop,1,1
58,5,Social Media,5.64,82.75,0,14,Mobile,1,0
28,3,Ads,14.22,64.84,1,19,Mobile,1,1
35,3,Email,6.6,113.64,1,4,Mobile,1,0
44,4,Ads,6.91,136.81,1,9,Desktop,1,1
34,2,Ads,7.84,218.49,0,4,Desktop,0,0
41,6,Ads,14.33,49.89,1,7,Desktop,1,0
26,1,Social Media,3.85,177.79,0,6,Desktop,0,0
64,2,Ads,13.87,105.52,1,10,Desktop,0,0
33,6,Organic,11.63,33.63,0,13,Tablet,1,1
26,3,Ads,5.54,118.56,1,6,Mobile,1,1
31,4,Social Media,6.61,106.83,1,10,Desktop,0,0
19,1,Email,5.01,74.19,0,8,Tablet,0,0
44,0,Email,11.45,136.79,1,13,Mobile,1,0
42,3,Social Media,13.4,194.34,0,18,Mobile,0,1
41,2,Organic,8.68,145.65,1,14,Tablet,1,1
28,2,Ads,9.68,83.06,1,6,Desktop,1,1
25,0,Organic,10.48,67.97,0,11,Desktop,1,0
26,6,Social Media,7.8,238.9,0,10,Mobile,0,0
60,6,Social Media,9.85,192.23,0,5,Mobile,1,0
58,2,Organic,7.14,139.65,1,4,Tablet,1,0
26,5,Email,10.02,110.14,0,3,Desktop,1,1
38,3,Organic,8.34,101.35,1,10,Desktop,1,0
27,0,Social Media,3.42,51.97,0,4,Mobile,1,0
20,3,Organic,9.61,117.5,1,6,Tablet,1,1
33,3,Social Media,7.29,131.53,0,1,Tablet,1,0
29,0,Social Media,10.97,38.91,1,15,Desktop,1,1
25,4,Social Media,7.69,21.41,1,12,Tablet,0,1
26,4,Ads,5.99,157.78,1,7,Desktop,0,1
27,3,Ads,11.37,151.05,1,6,Tablet,0,0
64,1,Email,9.35,131.91,1,9,Tablet,1,0
55,3,Social Media,7.43,98.55,1,18,Desktop,1,0
48,0,Email,7.4,46.07,0,11,Tablet,1,0
28,4,Email,3.21,147.73,1,19,Desktop,0,0
35,8,Social Media,7.75,45.4,1,15,Tablet,0,0
34,3,Ads,9.86,107.55,0,11,Tablet,0,1
57,3,Email,7.94,90.81,1,10,Tablet,1,0
44,5,Email,2.89,94.65,1,13,Tablet,0,1
44,5,Organic,9.46,159.45,0,1,Mobile,0,1
62,3,Organic,2.53,74.3,1,13,Desktop,1,1
24,6,Ads,5.42,58.2,1,14,Mobile,0,0
21,3,Ads,10.7,164.68,0,4,Desktop,0,1
40,0,Ads,9.11,109.23,0,9,Desktop,0,0
23,2,Email,4.74,54.85,0,19,Desktop,0,0
29,4,Email,4.81,48.1,1,19,Tablet,0,0
64,6,Ads,13.41,142.99,0,9,Desktop,0,1
39,2,Ads,10.91,168.2,0,1,Tablet,1,0
34,9,Organic,6.39,152.4,0,6,Tablet,1,0
34,6,Organic,10.09,170.95,0,19,Mobile,1,0
31,4,Ads,8.58,199.18,1,19,Desktop,1,1
33,4,Email,6.56,68.23,0,19,Tablet,1,0
31,4,Email,6.89,128.6,1,11,Mobile,0,0
23,3,Email,5.89,175.92,1,19,Mobile,1,0
47,5,Organic,12.56,90.31,0,18,Tablet,1,1
25,1,Ads,7.31,64.55,1,9,Tablet,0,0
24,2,Organic,5.23,59.76,1,11,Desktop,1,0
64,2,Email,13.02,200.43,1,2,Mobile,1,1
44,4,Ads,11.05,136.29,1,10,Tablet,1,0
38,4,Ads,8.13,104.65,0,4,Mobile,1,0
26,4,Email,7.93,109.54,0,15,Mobile,0,0
26,4,Email,5.13,159.0,1,15,Desktop,1,0
50,2,Organic,7.8,77.05,1,1,Tablet,1,0
27,3,Email,6.58,199.56,1,14,Mobile,0,1
34,4,Email,8.91,163.29,1,2,Desktop,1,0
55,4,Email,6.35,171.58,1,13,Desktop,1,1
60,2,Ads,6.52,206.62,1,1,Tablet,1,0
46,1,Email,10.37,140.4,1,19,Tablet,0,0
21,4,Social Media,6.52,154.16,1,5,Tablet,1,0
59,2,Social Media,6.58,181.99,1,5,Desktop,1,1
40,2,Organic,6.9,9.83,1,14,Tablet,1,1
62,1,Social Media,10.93,175.11,1,1,Tablet,1,0
49,3,Organic,8.32,28.37,1,14,Mobile,0,0
36,5,Email,9.14,167.46,1,10,Tablet,0,1
30,3,Social Media,5.22,135.32,0,17,Desktop,0,0
20,2,Organic,7.86,74.1,1,11,Desktop,1,0
42,5,Email,6.84,79.59,1,19,Desktop,1,1
32,1,Organic,11.71,92.56,1,16,Desktop,0,0
23,3,Organic,6.18,132.68,0,13,Desktop,1,0
46,2,Organic,4.24,31.75,0,4,Desktop,1,1
48,1,Email,9.95,51.74,1,2,Mobile,1,1
42,4,Email,11.38,166.4,0,19,Desktop,1,1
24,3,Organic,9.92,32.03,1,4,Desktop,1,1
59,3,Social Media,4.23,141.19,1,2,Tablet,1,1
61,3,Ads,2.55,5.0,1,17,Desktop,0,1
64,4,Ads,2.71,102.37,1,7,Desktop,0,1
32,6,Social Media,7.43,30.77,0,3,Desktop,1,1
63,7,Email,6.59,158.68,1,6,Desktop,0,1
60,3,Email,15.35,49.42,0,13,Tablet,0,0
38,4,Ads,12.0,157.78,0,15,Tablet,1,0
20,7,Social Media,3.94,86.81,1,11,Mobile,1,0
22,5,Ads,8.02,162.92,1,18,Mobile,1,1
40,2,Organic,8.53,123.24,0,19,Desktop,1,1
18,3,Ads,6.99,140.54,0,16,Mobile,0,0
32,6,Organic,3.04,152.33,1,11,Tablet,1,0
39,1,Email,8.49,113.61,1,16,Desktop,1,1
33,4,Email,8.87,124.49,1,14,Tablet,1,0
29,4,Organic,7.47,27.08,0,10,Mobile,0,0
37,6,Social Media,4.96,74.33,0,7,Desktop,1,0
30,1,Ads,6.86,139.92,0,2,Mobile,1,1
63,3,Email,9.05,59.76,0,17,Tablet,1,1
59,1,Email,4.44,5.0,1,16,Desktop,1,1
34,6,Organic,7.85,35.69,1,12,Desktop,1,1
24,2,Ads,5.86,221.41,1,8,Tablet,0,1
54,7,Social Media,5.99,95.94,1,3,Tablet,0,0
51,6,Ads,11.71,67.38,1,5,Desktop,0,1
58,3,Email,10.01,201.95,1,17,Tablet,1,1
53,2,Email,10.49,118.36,0,14,Desktop,1,1
64,4,Organic,1.0,90.02,1,7,Tablet,1,0
63,2,Social Media,6.2,53.4,1,15,Tablet,1,1
48,2,Email,5.67,161.6,0,12,Mobile,1,0
25,1,Ads,11.66,90.77,0,11,Desktop,1,1
50,4,Organic,8.29,197.75,1,3,Desktop,1,0
38,6,Organic,8.99,152.0,0,11,Desktop,1,1
49,4,Ads,6.71,70.77,1,10,Tablet,1,1
29,3,Email,4.71,137.9,1,2,Mobile,0,0
59,3,Organic,6.05,99.2,1,17,Mobile,0,0
61,5,Email,4.69,175.44,0,3,Desktop,1,1
39,2,Organic,8.96,127.76,0,15,Mobile,1,0
22,1,Social Media,5.26,131.31,1,8,Tablet,1,1
27,1,Social Media,9.4,150.38,0,13,Tablet,0,0
62,5,Email,6.91,148.64,1,13,Desktop,1,0
45,4,Email,6.76,233.26,0,15,Desktop,1,0
59,4,Email,11.46,88.88,0,13,Desktop,0,1
31,3,Organic,12.48,146.18,1,3,Desktop,0,1
40,1,Email,1.0,80.51,0,18,Desktop,1,1
31,2,Email,12.65,124.18,0,3,Desktop,0,0
53,2,Ads,6.09,8.54,1,18,Tablet,0,0
30,3,Social Media,9.4,14.73,0,16,Desktop,0,0
45,2,Ads,5.37,53.11,1,7,Desktop,1,1
59,2,Social Media,7.34,114.66,1,7,Mobile,1,1
62,1,Email,8.76,97.67,1,10,Tablet,1,1
49,3,Social Media,11.75,133.57,1,4,Mobile,1,0
36,6,Social Media,12.95,184.24,1,17,Desktop,1,0
27,2,Social Media,1.26,195.68,0,13,Desktop,1,1
27,2,Organic,11.15,219.32,0,3,Tablet,0,1
39,2,Email,6.22,113.63,0,17,Mobile,0,1
43,4,Ads,10.87,5.0,0,15,Mobile,0,1
64,2,Organic,4.51,101.47,0,17,Mobile,0,1
22,1,Social Media,8.43,89.76,0,16,Tablet,1,1
54,4,Social Media,5.99,62.55,1,6,Desktop,1,0
49,1,Organic,7.71,95.04,1,13,Tablet,0,1
53,4,Email,10.28,51.25,1,9,Desktop,1,0
22,2,Ads,4.41,173.62,0,10,Desktop,1,1
21,6,Social Media,4.06,226.0,1,17,Desktop,1,1
56,5,Ads,5.14,79.38,1,2,Desktop,1,1
36,4,Ads,10.7,221.31,1,16,Mobile,0,0
37,2,Ads,4.85,165.45,1,9,Tablet,1,0
33,1,Ads,6.03,140.54,1,2,Desktop,1,0
43,0,Organic,7.44,100.7,0,2,Mobile,1,1
41,5,Email,10.15,5.0,1,14,Mobile,1,1
39,2,Organic,13.7,134.69,1,1,Tablet,1,1
55,1,Social Media,5.36,77.27,1,8,Mobile,0,0
31,4,Email,5.72,137.23,1,8,Desktop,0,0
60,0,Ads,5.25,201.33,0,8,Mobile,1,1
22,1,Email,1.54,172.59,1,8,Mobile,0,0
40,3,Social Media,7.73,178.64,0,15,Mobile,1,1
37,2,Email,5.25,139.6,1,12,Desktop,1,0
56,4,Social Media,14.26,59.11,1,19,Mobile,0,1
43,2,Ads,5.44,125.12,0,7,Tablet,1,0
31,0,Email,9.14,109.22,1,19,Tablet,1,0
55,4,Ads,11.03,164.94,0,19,Tablet,1,0
41,8,Ads,10.45,5.0,1,18,Mobile,1,1
43,2,Email,5.07,119.9,0,13,Mobile,0,1
55,4,Email,9.2,127.86,0,10,Tablet,0,1
55,2,Organic,7.39,124.62,1,4,Tablet,1,1
26,1,Social Media,5.43,58.32,1,11,Tablet,1,1
35,4,Organic,9.47,261.7,0,16,Tablet,1,1
47,4,Ads,9.79,58.96,0,13,Tablet,1,1
41,5,Ads,5.98,95.82,1,7,Desktop,1,0
20,4,Organic,7.21,38.22,0,4,Desktop,1,1
39,3,Social Media,7.67,127.28,1,19,Desktop,1,1
62,6,Organic,9.29,81.88,0,3,Mobile,0,0
30,3,Ads,7.31,119.28,0,8,Mobile,1,1
26,2,Email,8.53,39.8,1,1,Tablet,1,1
25,1,Organic,7.73,115.15,0,16,Desktop,1,0
40,4,Social Media,5.63,126.12,0,19,Desktop,1,1
26,1,Social Media,4.97,89.09,0,3,Tablet,1,1
41,2,Ads,9.86,182.41,1,18,Desktop,1,1
30,4,Organic,8.14,123.07,0,9,Tablet,1,1
39,2,Email,6.34,215.95,1,19,Desktop,1,0
54,2,Ads,1.37,186.24,1,16,Mobile,1,1
62,1,Organic,6.25,49.57,1,11,Desktop,1,1
30,3,Email,14.29,215.67,0,19,Tablet,1,0
24,4,Social Media,9.97,169.68,1,13,Mobile,1,0
45,3,Email,2.48,118.06,1,13,Mobile,1,0
20,2,Organic,10.56,247.23,1,13,Mobile,0,1
42,0,Social Media,8.69,184.46,1,2,Tablet,1,1
42,4,Organic,6.11,75.05,0,13,Tablet,1,0
49,5,Organic,3.23,208.81,1,13,Tablet,1,1
33,7,Ads,5.5,160.47,0,3,Mobile,0,0
26,1,Social Media,6.82,38.23,0,9,Mobile,1,0
40,2,Organic,3.38,36.37,1,18,Tablet,1,0
62,4,Email,5.94,13.23,1,5,Mobile,0,0
36,7,Email,11.71,202.73,0,17,Tablet,0,1
57,2,Ads,16.76,65.23,1,7,Mobile,1,1
42,3,Ads,8.46,95.81,0,19,Desktop,1,0
28,3,Organic,11.61,166.53,1,16,Tablet,1,1
26,2,Ads,11.8,209.2,1,13,Mobile,0,1
44,1,Ads,9.51,91.14,1,1,Tablet,0,1
58,6,Social Media,13.56,103.14,1,17,Mobile,1,0
35,2,Email,8.22,131.24,1,8,Desktop,1,1
30,3,Organic,8.07,104.15,1,15,Desktop,1,0
51,2,Ads,7.34,60.82,0,2,Desktop,0,1
47,3,Ads,9.49,184.19,1,17,Desktop,0,0
21,4,Ads,7.31,157.19,0,8,Tablet,1,1
19,0,Organic,5.86,151.28,0,14,Mobile,1,1
50,3,Email,10.6,180.09,0,4,Desktop,1,0
51,1,Organic,7.68,92.77,1,13,Mobile,1,1
59,3,Organic,6.36,122.49,1,18,Mobile,1,1
39,5,Social Media,6.75,171.34,1,19,Desktop,0,1
44,0,Ads,4.81,72.61,0,15,Tablet,0,0
52,6,Email,11.81,61.45,1,6,Tablet,1,0
63,4,Social Media,7.72,42.55,1,16,Desktop,0,1
57,1,Organic,8.03,195.53,0,7,Mobile,0,0
32,6,Email,11.76,107.95,1,9,Desktop,1,0
23,2,Organic,10.7,183.61,1,5,Mobile,0,1
50,5,Email,5.65,246.06,1,7,Mobile,1,1
35,9,Organic,9.38,115.63,1,19,Tablet,1,1
58,4,Social Media,1.11,88.88,1,13,Desktop,1,1
39,1,Ads,9.35,162.46,0,6,Tablet,0,0
63,1,Organic,4.82,117.27,0,17,Tablet,0,1
47,4,Organic,3.83,129.47,0,5,Desktop,1,0
31,6,Organic,7.28,19.81,0,19,Tablet,0,0
43,4,Email,8.43,170.98,1,17,Desktop,1,1
43,7,Ads,7.63,85.86,1,8,Mobile,1,0
33,3,Email,6.8,271.46,0,3,Desktop,1,1
28,5,Ads,11.43,194.3,1,16,Mobile,0,0
26,2,Social Media,9.25,81.99,1,14,Tablet,1,1
19,5,Social Media,9.09,185.07,0,8,Desktop,1,1
23,2,Social Media,12.12,54.19,0,3,Tablet,0,1
54,1,Social Media,8.47,9.94,1,11,Tablet,1,1
52,3,Organic,8.21,66.24,1,17,Tablet,0,0
18,3,Ads,9.04,125.2,1,2,Desktop,0,1
23,3,Email,17.46,52.59,0,4,Mobile,0,1
25,6,Email,3.46,71.94,1,6,Mobile,0,0
61,1,Email,8.41,89.75,0,19,Desktop,0,1
23,3,Ads,6.54,158.0,0,14,Tablet,1,0
59,2,Organic,11.53,107.25,0,1,Desktop,1,1
35,2,Organic,5.66,104.41,1,11,Mobile,1,1
50,4,Organic,12.86,113.22,0,1,Tablet,0,0
25,2,Email,7.45,93.83,0,8,Tablet,1,1
29,5,Social Media,11.2,100.69,0,8,Tablet,1,1
32,4,Social Media,5.02,82.03,1,8,Desktop,1,0
32,3,Organic,6.66,126.79,0,16,Desktop,0,0
56,1,Ads,9.9,78.11,1,16,Desktop,1,0
61,3,Social Media,10.58,124.79,0,3,Desktop,0,1
30,3,Organic,13.8,55.54,0,9,Tablet,1,1
27,0,Email,5.71,56.1,0,19,Tablet,0,1
48,7,Organic,11.44,73.36,0,9,Mobile,0,0
45,1,Social Media,7.27,6.6,0,17,Tablet,1,0
52,2,Social Media,11.31,83.9,0,9,Mobile,1,0
41,3,Ads,8.45,5.0,1,17,Mobile,1,1
64,4,Email,10.38,184.78,1,18,Tablet,1,0
38,4,Social Media,2.41,126.74,1,13,Tablet,1,1
31,1,Organic,7.54,210.49,0,12,Tablet,0,0
19,3,Social Media,7.7,178.54,1,19,Desktop,1,0
56,2,Ads,6.95,43.45,1,11,Tablet,0,1
50,2,Organic,8.19,19.97,1,7,Desktop,1,1
33,5,Email,3.06,156.28,0,1,Tablet,1,0
38,3,Ads,13.47,105.73,0,13,Mobile,1,1
19,6,Social Media,13.79,140.97,1,5,Tablet,1,0
24,2,Social Media,15.53,117.57,0,19,Tablet,0,0
